id,title,content
1,What is inflammatory breast cancer?,"Considered a rare disease, inflammatory breast cancer (IBC) typically forms in the soft tissues, blocking lymph vessels in the breast skin. That's why the breast often becomes firm, tender, itchy, red and warm, from the increase in blood flow and a build-up of white blood cells. IBC differs from other forms of breast cancer, especially in symptoms, prognosis and treatment. The term �inflammatory� is not meant to reflect what's happening inside the breast, only in how the breast appears. When an infection or injury causes the breasts to become inflamed, they often become tender, swollen, red and itchy, but the underlying cause is not inflammation."
2,When should I begin screening for breast cancer?,"The American Cancer Society (ACS) recommends the following early-detection screenings for women at average risk for breast cancer: Optional mammograms beginning at age 40. Annual mammograms for women ages 45 to 54. Mammograms every two years for women 55 and older, unless they choose to stick with yearly screenings MRIs and mammograms for some women at high risk of breast cancer. The ACS also recommends that women know the benefits and potential harms associated with breast cancer screening, as well as how their breasts normally look and feel and report any changes to their doctor right away."
3,What if I don't want cancer treatment?,"No treatment is without some sort of risk. A decision to decline treatment has its own risks, too. Breast cancer patients may refuse their doctors� treatment recommendations in whole or in part. Palliative care, designed to help control severe side effects such as pain, nausea or other symptoms, may help you manage your quality of life in the meantime."
4,Is my cancer invasive or noninvasive?,"A tumor is an abnormal growth that may be benign or malignant. Benign breast tumors are not life-threatening and do not spread to other parts of the body. Malignant breast tumors are cancers that impact your health and may spread to other parts of the body. A malignant tumor that grows into surrounding tissue is considered invasive. Invasive tumors are more likely to spread to other parts of the body than non-invasive tumors. Non-invasive breast cancer cells remain in a particular area of the breast without spreading to surrounding tissue, lobules or ducts."
5,What stage is my cancer and what does it mean?,"Staging is a way to describe the severity or extent of your cancer. Knowing the cancer stage will help your care team recommend a personalized treatment plan specific to your disease. Breast cancer diagnosed as stage I or stage II is considered early stage, while stages III and IV are considered advanced."
6,What size is my tumor and why does that matter?,"Treatment options for breast cancer partly depend on how small or large your tumor is, if the cancer has spread to the lymph nodes and if the cancer is found in other parts of your body. The larger the tumor, the more likely it is that the breast cancer is lymph node-positive, meaning the axillary lymph nodes contain cancer. Sentinel node biopsy is the most common way to determine whether cancer cells have spread beyond the breast."
7,How much experience do you have treating my type and stage of breast cancer?,"Oncologists who are experienced in not only treating breast cancer but in your specific type of breast cancer are typically better equipped to explain and deliver the full range of treatment options. You should feel comfortable asking your doctor about his or her experience. Doctors and the hospitals they may work for are not required by law to publish the survival rates of the patients they treat, but some choose to do so. Others may be willing to provide these statistics upon request."
8,Should I get a second opinion?,"A second opinion may confirm your original diagnosis and treatment plan, provide more details about the type and stage of your breast cancer, raise additional treatment options not considered, or lead to a recommendation for a different course of action. A second opinion may also help you feel more confident in your treatment decisions and help you find a doctor you feel comfortable with."
9,Has the cancer spread to my lymph nodes or other organs?,"Cancer may spread from the site where it originated to other parts of the body. When cancer cells move away from a tumor, they may travel through the bloodstream to distant organs. If they travel through the lymph system, the cancer cells may end up in lymph nodes. The lymph nodes in the underarm are the first-place breast cancer is most likely to spread. Your doctor may perform a biopsy to check for the presence of cancer cells. The sample is examined by a pathologist who checks the nodes under a microscope. That exam determines lymph node status. The spread of cancer to another part of the body is called metastasis. If breast cancer has metastasized to other areas of the body, it is categorized as stage IV breast cancer. Typically, breast cancer metastasizes primarily to the lungs, liver, brain, regional lymph nodesand bone."
10,Were HER2 tests performed on my tissue sample?,"HER2 (which stands for human epidermal growth factor receptor 2) is a type of growth signal receptor, or antenna that may be present on your breast cancer cells. About 25 percent of breast cancers are HER2-positive, meaning the cancer cells make too much of a protein called HER2/neu, which indicates that the cancer may be more aggressive. If your cancer is HER2-positive, this helps doctors better predict whether the cancer may respond to certain targeted therapies."
11,Should I consider participating in a clinical trial?,"Breast cancer treatment has improved tremendously over the years, thanks to advances made possible because of patients who have been willing to participate in studies exploring treatment options, drug protocols or other approaches before they can be granted federal approval. These clinical trials may offer participants new treatment options that may have otherwise been unavailable to them, especially after exhausting conventional treatments. If you qualify for such a trial, ask your doctor about any concerns or questions you may have about participating, so that you may determine if it�s a good fit for you."
